2025-06-23 12:20:55,118 - WARNING - TRT engine path '' is invalid. Falling back to plain model.
2025-06-23 12:27:08,818 - INFO - Inference time: 0.349914 ms, MSE: 0.208995
2025-06-23 12:27:09,173 - INFO - Inference time: 0.349617 ms, MSE: 0.206629
2025-06-23 12:27:09,530 - INFO - Inference time: 0.352451 ms, MSE: 0.205672
2025-06-23 12:27:09,888 - INFO - Inference time: 0.353018 ms, MSE: 0.207105
2025-06-23 12:27:10,245 - INFO - Inference time: 0.352186 ms, MSE: 0.210141
2025-06-23 12:27:10,606 - INFO - Inference time: 0.350705 ms, MSE: 0.211161
2025-06-23 12:27:10,965 - INFO - Inference time: 0.353839 ms, MSE: 0.212097
2025-06-23 12:27:11,337 - INFO - Inference time: 0.367258 ms, MSE: 0.223785
2025-06-23 12:27:11,693 - INFO - Inference time: 0.353536 ms, MSE: 0.216283
2025-06-23 12:27:12,048 - INFO - Inference time: 0.352316 ms, MSE: 0.214699
2025-06-23 12:27:12,430 - INFO - Inference time: 0.367045 ms, MSE: 0.219138
2025-06-23 12:27:12,786 - INFO - Inference time: 0.350773 ms, MSE: 0.216021
2025-06-23 12:27:13,146 - INFO - Inference time: 0.349762 ms, MSE: 0.214359
2025-06-23 12:27:13,501 - INFO - Inference time: 0.349833 ms, MSE: 0.208678
2025-06-23 12:27:13,858 - INFO - Inference time: 0.352028 ms, MSE: 0.208334
2025-06-23 12:27:14,222 - INFO - Inference time: 0.350864 ms, MSE: 0.208296
2025-06-23 12:27:14,590 - INFO - Inference time: 0.362730 ms, MSE: 0.207942
2025-06-23 12:27:14,966 - INFO - Inference time: 0.366449 ms, MSE: 0.208088
2025-06-23 12:27:15,342 - INFO - Inference time: 0.370468 ms, MSE: 0.206670
2025-06-23 12:27:15,706 - INFO - Inference time: 0.359576 ms, MSE: 0.207038
2025-06-23 12:27:16,066 - INFO - Inference time: 0.350376 ms, MSE: 0.207122
2025-06-23 12:27:16,429 - INFO - Inference time: 0.357392 ms, MSE: 0.207901
2025-06-23 12:27:16,794 - INFO - Inference time: 0.360695 ms, MSE: 0.206897
2025-06-23 12:27:17,160 - INFO - Inference time: 0.360911 ms, MSE: 0.208022
2025-06-23 12:27:17,527 - INFO - Inference time: 0.356115 ms, MSE: 0.209917
2025-06-23 12:27:17,903 - INFO - Inference time: 0.365725 ms, MSE: 0.210099
2025-06-23 12:27:18,274 - INFO - Inference time: 0.366108 ms, MSE: 0.217205
2025-06-23 12:27:18,629 - INFO - Inference time: 0.350392 ms, MSE: 0.214185
2025-06-23 12:27:18,987 - INFO - Inference time: 0.352961 ms, MSE: 0.226125
2025-06-23 12:27:19,367 - INFO - Inference time: 0.374574 ms, MSE: 0.210816
2025-06-23 12:27:19,726 - INFO - Inference time: 0.349655 ms, MSE: 0.211107
2025-06-23 12:27:20,079 - INFO - Inference time: 0.349899 ms, MSE: 0.205882
2025-06-23 12:27:20,437 - INFO - Inference time: 0.352896 ms, MSE: 0.208227
2025-06-23 12:27:20,827 - INFO - Inference time: 0.361745 ms, MSE: 0.206798
2025-06-23 12:27:21,198 - INFO - Inference time: 0.366971 ms, MSE: 0.206248
2025-06-23 12:27:21,563 - INFO - Inference time: 0.354226 ms, MSE: 0.209579
2025-06-23 12:27:21,920 - INFO - Inference time: 0.352354 ms, MSE: 0.209125
2025-06-23 12:27:22,277 - INFO - Inference time: 0.351527 ms, MSE: 0.205944
2025-06-23 12:27:22,649 - INFO - Inference time: 0.357669 ms, MSE: 0.206568
2025-06-23 12:27:23,005 - INFO - Inference time: 0.350995 ms, MSE: 0.205655
2025-06-23 12:27:23,367 - INFO - Inference time: 0.352015 ms, MSE: 0.207343
2025-06-23 12:27:23,724 - INFO - Inference time: 0.352075 ms, MSE: 0.206516
2025-06-23 12:27:24,081 - INFO - Inference time: 0.351933 ms, MSE: 0.204351
2025-06-23 12:27:24,461 - INFO - Inference time: 0.362449 ms, MSE: 0.206865
2025-06-23 12:27:24,818 - INFO - Inference time: 0.351183 ms, MSE: 0.206645
2025-06-23 12:27:25,180 - INFO - Inference time: 0.351838 ms, MSE: 0.205438
2025-06-23 12:27:25,540 - INFO - Inference time: 0.355314 ms, MSE: 0.205751
2025-06-23 12:27:25,896 - INFO - Inference time: 0.351032 ms, MSE: 0.206917
2025-06-23 12:27:26,256 - INFO - Inference time: 0.354747 ms, MSE: 0.208150
2025-06-23 12:27:26,613 - INFO - Inference time: 0.351519 ms, MSE: 0.207858
2025-06-23 12:27:26,978 - INFO - Inference time: 0.355036 ms, MSE: 0.212278
2025-06-23 12:27:27,343 - INFO - Inference time: 0.353632 ms, MSE: 0.215970
2025-06-23 12:27:27,745 - INFO - Inference time: 0.397584 ms, MSE: 0.211693
2025-06-23 12:27:28,099 - INFO - Inference time: 0.351828 ms, MSE: 0.212056
2025-06-23 12:27:28,099 - INFO - Average MSE: 0.209763, Average inference time: 0.486443 ms
2025-06-23 12:27:28,099 - INFO - Folder Mode: 29598.336402 ms
2025-06-23 12:27:55,881 - WARNING - TRT engine path '' is invalid. Falling back to plain model.
2025-06-23 12:27:55,881 - WARNING - TensorRT unavailable, falling back to plain model: 
2025-06-23 12:28:03,184 - INFO - Inference time: 4.594831 ms, MSE: 0.239301
2025-06-23 12:28:03,606 - INFO - Inference time: 0.417448 ms, MSE: 0.286488
2025-06-23 12:28:04,027 - INFO - Inference time: 0.418893 ms, MSE: 0.258673
2025-06-23 12:28:04,387 - INFO - Inference time: 0.358253 ms, MSE: 0.281006
2025-06-23 12:28:04,748 - INFO - Inference time: 0.358980 ms, MSE: 0.285230
2025-06-23 12:28:05,118 - INFO - Inference time: 0.359886 ms, MSE: 0.270791
2025-06-23 12:28:05,534 - INFO - Inference time: 0.410304 ms, MSE: 0.260990
2025-06-23 12:28:05,893 - INFO - Inference time: 0.355617 ms, MSE: 0.225812
2025-06-23 12:28:06,250 - INFO - Inference time: 0.355163 ms, MSE: 0.286034
2025-06-23 12:28:06,635 - INFO - Inference time: 0.383013 ms, MSE: 0.286694
2025-06-23 12:28:06,998 - INFO - Inference time: 0.352653 ms, MSE: 0.287816
2025-06-23 12:28:07,368 - INFO - Inference time: 0.352980 ms, MSE: 0.280612
2025-06-23 12:28:07,734 - INFO - Inference time: 0.356378 ms, MSE: 0.285968
2025-06-23 12:28:08,129 - INFO - Inference time: 0.370496 ms, MSE: 0.279779
2025-06-23 12:28:08,494 - INFO - Inference time: 0.359767 ms, MSE: 0.279888
2025-06-23 12:28:08,862 - INFO - Inference time: 0.358070 ms, MSE: 0.285723
2025-06-23 12:28:09,221 - INFO - Inference time: 0.354193 ms, MSE: 0.286004
2025-06-23 12:28:09,580 - INFO - Inference time: 0.353560 ms, MSE: 0.277867
2025-06-23 12:28:09,942 - INFO - Inference time: 0.350153 ms, MSE: 0.282312
2025-06-23 12:28:10,301 - INFO - Inference time: 0.353928 ms, MSE: 0.275202
2025-06-23 12:28:10,669 - INFO - Inference time: 0.357522 ms, MSE: 0.276196
2025-06-23 12:28:11,036 - INFO - Inference time: 0.362614 ms, MSE: 0.272275
2025-06-23 12:28:11,413 - INFO - Inference time: 0.375034 ms, MSE: 0.247497
2025-06-23 12:28:11,776 - INFO - Inference time: 0.352157 ms, MSE: 0.273227
